iter	Passed	Remaining
0	5	5509
1	10	5399
2	16	5404
3	21	5267
4	26	5228
5	30	5105
6	36	5121
7	41	5113
8	45	5034
9	50	5038
10	55	4989
11	60	4949
12	64	4932
13	69	4907
14	74	4923
15	79	4894
16	84	4891
17	89	4888
18	94	4856
19	99	4864
20	103	4847
21	108	4823
22	113	4840
23	118	4825
24	124	4837
25	129	4833
26	133	4827
27	139	4826
28	143	4812
29	148	4790
30	152	4765
31	156	4735
32	161	4722
33	165	4701
34	169	4686
35	174	4661
36	180	4685
37	184	4671
38	188	4648
39	193	4649
40	198	4642
41	203	4649
42	208	4639
43	212	4623
44	217	4608
45	221	4593
46	225	4579
47	229	4560
48	234	4555
49	238	4538
50	243	4532
51	247	4520
52	252	4512
53	256	4501
54	261	4485
55	265	4479
56	270	4467
57	274	4456
58	278	4442
59	283	4439
60	287	4425
61	291	4416
62	296	4403
63	300	4391
64	304	4382
65	308	4371
66	313	4359
67	317	4347
68	322	4348
69	326	4335
70	330	4327
71	335	4322
72	340	4326
73	345	4318
74	349	4310
75	353	4300
76	358	4295
77	362	4286
78	366	4276
79	371	4270
80	375	4260
81	379	4252
82	383	4241
83	388	4239
84	393	4230
85	397	4221
86	401	4214
87	407	4218
88	412	4218
89	416	4207
90	420	4204
91	425	4198
92	429	4193
93	434	4185
94	438	4176
95	443	4172
96	447	4163
97	451	4160
98	456	4150
99	460	4146
100	464	4138
101	469	4130
102	473	4122
103	478	4118
104	482	4111
105	486	4102
106	491	4098
107	495	4090
108	499	4082
109	503	4073
110	508	4071
111	512	4064
112	516	4058
113	521	4050
114	525	4044
115	529	4037
116	534	4030
117	538	4025
118	543	4021
119	547	4014
120	551	4007
121	556	4001
122	560	3993
123	564	3987
124	568	3980
125	573	3978
126	577	3970
127	582	3966
128	587	3963
129	591	3960
130	596	3957
131	603	3965
132	617	4023
133	623	4030
134	628	4028
135	633	4026
136	638	4024
137	644	4023
138	649	4020
139	653	4017
140	658	4010
141	663	4008
142	668	4004
143	672	3998
144	677	3993
145	681	3986
146	686	3980
147	690	3973
148	694	3969
149	699	3962
150	703	3956
151	708	3950
152	712	3943
153	716	3936
154	720	3929
155	725	3926
156	730	3920
157	734	3914
158	738	3908
159	743	3905
160	748	3899
161	752	3894
162	757	3888
163	761	3881
164	766	3879
165	771	3873
166	775	3870
167	781	3871
168	786	3867
169	791	3864
170	795	3857
171	801	3856
172	805	3852
173	811	3851
174	816	3847
175	820	3841
176	825	3837
177	830	3835
178	835	3830
179	840	3830
180	846	3828
181	850	3822
182	855	3818
183	859	3811
184	864	3807
185	868	3801
186	873	3796
187	877	3791
188	882	3784
189	886	3779
190	890	3771
191	895	3770
192	900	3765
193	905	3760
194	910	3757
195	914	3751
196	918	3744
197	922	3738
198	927	3732
199	931	3726
200	936	3721
201	940	3715
202	945	3712
203	950	3707
204	955	3705
205	959	3699
206	963	3692
207	968	3686
208	972	3680
209	977	3675
210	981	3668
211	986	3666
212	990	3659
213	994	3653
214	999	3648
215	1004	3646
216	1010	3647
217	1015	3644
218	1020	3639
219	1025	3635
220	1029	3629
221	1034	3624
222	1038	3618
223	1043	3614
224	1048	3610
225	1052	3605
226	1057	3601
227	1061	3595
228	1066	3591
229	1071	3586
230	1075	3581
231	1080	3576
232	1084	3570
233	1089	3565
234	1094	3562
235	1099	3559
236	1105	3559
237	1110	3556
238	1116	3553
239	1120	3549
240	1125	3544
241	1129	3539
242	1134	3533
243	1140	3532
244	1144	3527
245	1149	3523
246	1154	3519
247	1158	3514
248	1164	3511
249	1169	3507
250	1173	3502
251	1178	3497
252	1182	3491
253	1187	3488
254	1191	3482
255	1196	3477
256	1201	3473
257	1205	3468
258	1210	3463
259	1215	3458
260	1219	3453
261	1224	3448
262	1229	3444
263	1233	3440
264	1238	3434
265	1243	3430
266	1247	3425
267	1252	3422
268	1257	3417
269	1262	3413
270	1267	3409
271	1271	3404
272	1277	3401
273	1281	3396
274	1286	3391
275	1291	3387
276	1295	3381
277	1300	3377
278	1304	3371
279	1309	3367
280	1314	3362
281	1318	3356
282	1323	3352
283	1327	3347
284	1332	3342
285	1336	3336
286	1341	3332
287	1345	3327
288	1351	3324
289	1355	3319
290	1360	3314
291	1365	3310
292	1369	3305
293	1375	3301
294	1380	3298
295	1387	3299
296	1392	3295
297	1398	3294
298	1404	3293
299	1409	3289
300	1415	3286
301	1421	3284
302	1426	3281
303	1431	3278
304	1437	3274
305	1442	3270
306	1447	3267
307	1453	3265
308	1459	3262
309	1465	3260
310	1470	3258
311	1475	3253
312	1481	3252
313	1487	3249
314	1493	3247
315	1498	3244
316	1503	3239
317	1509	3236
318	1515	3235
319	1521	3232
320	1526	3229
321	1531	3225
322	1537	3222
323	1543	3219
324	1548	3215
325	1553	3211
326	1559	3210
327	1565	3207
328	1570	3203
329	1575	3199
330	1582	3197
331	1588	3196
332	1593	3192
333	1600	3190
334	1606	3188
335	1611	3184
336	1616	3180
337	1622	3178
338	1627	3173
339	1632	3168
340	1637	3164
341	1642	3159
342	1647	3156
343	1653	3152
344	1657	3147
345	1663	3144
346	1668	3140
347	1673	3136
348	1679	3132
349	1684	3128
350	1689	3123
351	1694	3119
352	1699	3114
353	1704	3110
354	1709	3106
355	1714	3101
356	1720	3099
357	1726	3095
358	1730	3090
359	1736	3086
360	1741	3081
361	1746	3078
362	1753	3077
363	1759	3074
364	1764	3069
365	1770	3066
366	1776	3064
367	1781	3059
368	1786	3054
369	1792	3052
370	1796	3046
371	1801	3041
372	1806	3037
373	1811	3031
374	1817	3028
375	1822	3023
376	1826	3018
377	1831	3014
378	1836	3009
379	1841	3003
380	1846	3000
381	1851	2995
382	1856	2991
383	1861	2986
384	1867	2982
385	1872	2977
386	1876	2972
387	1881	2967
388	1886	2962
389	1890	2957
390	1895	2952
391	1900	2947
392	1904	2942
393	1910	2938
394	1914	2932
395	1919	2927
396	1924	2923
397	1929	2918
398	1935	2914
399	1939	2909
400	1944	2904
401	1949	2900
402	1954	2895
403	1959	2891
404	1964	2885
405	1969	2880
406	1974	2876
407	1978	2871
408	1983	2866
409	1988	2861
410	1993	2856
411	1998	2851
412	2002	2846
413	2008	2843
414	2014	2839
415	2019	2834
416	2024	2830
417	2029	2825
418	2034	2820
419	2039	2816
420	2043	2810
421	2049	2806
422	2054	2801
423	2058	2796
424	2063	2792
425	2068	2787
426	2073	2782
427	2078	2777
428	2082	2772
429	2088	2768
430	2093	2763
431	2098	2759
432	2104	2755
433	2109	2750
434	2114	2746
435	2120	2742
436	2125	2737
437	2130	2733
438	2136	2729
439	2141	2725
440	2146	2721
441	2152	2717
442	2157	2713
443	2162	2708
444	2168	2704
445	2173	2700
446	2178	2695
447	2184	2691
448	2188	2686
449	2194	2682
450	2200	2678
451	2205	2674
452	2211	2670
453	2216	2666
454	2222	2661
455	2227	2657
456	2234	2654
457	2239	2650
458	2244	2645
459	2250	2641
460	2255	2637
461	2260	2632
462	2265	2628
463	2270	2623
464	2275	2618
465	2281	2614
466	2285	2608
467	2291	2604
468	2296	2599
469	2301	2594
470	2306	2590
471	2311	2585
472	2315	2580
473	2321	2576
474	2326	2571
475	2330	2565
476	2335	2561
477	2340	2555
478	2345	2551
479	2350	2546
480	2355	2541
481	2359	2536
482	2364	2530
483	2368	2525
484	2372	2519
485	2377	2514
486	2381	2508
487	2386	2503
488	2390	2497
489	2394	2492
490	2398	2486
491	2403	2481
492	2408	2476
493	2412	2471
494	2417	2466
495	2421	2460
496	2426	2455
497	2442	2461
498	2446	2456
499	2451	2451
500	2456	2446
501	2460	2440
502	2464	2435
503	2469	2429
504	2474	2425
505	2478	2419
506	2483	2414
507	2487	2408
508	2492	2403
509	2496	2398
510	2501	2393
511	2505	2388
512	2510	2382
513	2514	2377
514	2518	2372
515	2523	2367
516	2527	2361
517	2532	2356
518	2536	2351
519	2541	2345
520	2546	2340
521	2550	2335
522	2556	2331
523	2561	2326
524	2566	2322
525	2571	2317
526	2575	2311
527	2580	2306
528	2584	2301
529	2588	2295
530	2592	2290
531	2597	2284
532	2602	2280
533	2607	2275
534	2612	2270
535	2617	2265
536	2621	2260
537	2625	2254
538	2630	2249
539	2634	2244
540	2638	2238
541	2643	2233
542	2647	2227
543	2651	2222
544	2656	2217
545	2660	2212
546	2665	2207
547	2669	2201
548	2674	2196
549	2678	2191
550	2682	2186
551	2686	2180
552	2691	2175
553	2695	2169
554	2699	2164
555	2704	2159
556	2708	2154
557	2712	2148
558	2717	2143
559	2722	2138
560	2726	2133
561	2730	2128
562	2735	2123
563	2739	2118
564	2743	2112
565	2748	2107
566	2752	2102
567	2757	2097
568	2761	2091
569	2766	2086
570	2770	2081
571	2775	2077
572	2780	2071
573	2784	2066
574	2788	2061
575	2793	2056
576	2797	2051
577	2802	2045
578	2807	2041
579	2812	2036
580	2816	2031
581	2821	2026
582	2825	2020
583	2830	2016
584	2834	2010
585	2839	2006
586	2844	2001
587	2848	1995
588	2853	1991
589	2857	1985
590	2862	1980
591	2866	1975
592	2870	1970
593	2875	1965
594	2879	1960
595	2884	1954
596	2888	1949
597	2893	1944
598	2897	1939
599	2901	1934
600	2905	1929
601	2910	1924
602	2914	1919
603	2919	1913
604	2923	1908
605	2928	1903
606	2932	1898
607	2937	1893
608	2941	1888
609	2945	1883
610	2950	1878
611	2954	1872
612	2958	1868
613	2962	1862
614	2967	1857
615	2972	1852
616	2976	1847
617	2981	1842
618	2985	1837
619	2989	1832
620	2993	1827
621	2998	1822
622	3002	1816
623	3007	1811
624	3011	1806
625	3016	1801
626	3020	1797
627	3025	1792
628	3029	1787
629	3034	1781
630	3039	1777
631	3043	1772
632	3047	1767
633	3052	1761
634	3056	1756
635	3060	1751
636	3065	1746
637	3069	1741
638	3074	1736
639	3078	1731
640	3082	1726
641	3087	1721
642	3091	1716
643	3095	1711
644	3099	1706
645	3104	1701
646	3108	1696
647	3112	1690
648	3117	1686
649	3122	1681
650	3126	1676
651	3131	1671
652	3135	1666
653	3139	1661
654	3144	1656
655	3148	1650
656	3152	1645
657	3156	1640
658	3160	1635
659	3165	1630
660	3170	1626
661	3174	1620
662	3178	1615
663	3183	1610
664	3187	1605
665	3191	1600
666	3195	1595
667	3199	1590
668	3204	1585
669	3208	1580
670	3212	1575
671	3217	1570
672	3223	1566
673	3227	1561
674	3232	1556
675	3236	1551
676	3240	1546
677	3245	1541
678	3249	1536
679	3253	1531
680	3257	1525
681	3261	1520
682	3266	1515
683	3271	1511
684	3276	1506
685	3280	1501
686	3284	1496
687	3289	1491
688	3294	1486
689	3299	1482
690	3303	1477
691	3307	1472
692	3312	1467
693	3317	1462
694	3324	1458
695	3328	1454
696	3333	1449
697	3338	1444
698	3343	1439
699	3347	1434
700	3351	1429
701	3356	1424
702	3362	1420
703	3367	1415
704	3372	1411
705	3377	1406
706	3381	1401
707	3385	1396
708	3389	1391
709	3395	1386
710	3400	1382
711	3404	1377
712	3409	1372
713	3415	1368
714	3421	1363
715	3425	1358
716	3432	1354
717	3436	1349
718	3442	1345
719	3447	1340
720	3452	1335
721	3457	1331
722	3462	1326
723	3467	1322
724	3473	1317
725	3477	1312
726	3482	1307
727	3487	1303
728	3493	1298
729	3498	1293
730	3504	1289
731	3509	1284
732	3514	1280
733	3519	1275
734	3523	1270
735	3528	1265
736	3532	1260
737	3538	1256
738	3543	1251
739	3547	1246
740	3552	1241
741	3556	1236
742	3560	1231
743	3565	1226
744	3570	1222
745	3575	1217
746	3580	1212
747	3585	1207
748	3589	1202
749	3594	1198
750	3598	1193
751	3603	1188
752	3607	1183
753	3612	1178
754	3616	1173
755	3620	1168
756	3625	1163
757	3629	1158
758	3634	1153
759	3639	1149
760	3644	1144
761	3648	1139
762	3653	1134
763	3658	1130
764	3662	1125
765	3666	1120
766	3671	1115
767	3676	1110
768	3680	1105
769	3685	1100
770	3689	1095
771	3694	1091
772	3699	1086
773	3703	1081
774	3708	1076
775	3712	1071
776	3716	1066
777	3721	1061
778	3725	1057
779	3730	1052
780	3734	1047
781	3740	1042
782	3743	1037
783	3749	1033
784	3754	1028
785	3758	1023
786	3763	1018
787	3768	1013
788	3774	1009
789	3778	1004
790	3783	999
791	3788	994
792	3792	990
793	3798	985
794	3802	980
795	3807	975
796	3813	971
797	3818	966
798	3823	961
799	3828	957
800	3833	952
801	3839	947
802	3844	943
803	3850	938
804	3855	933
805	3860	929
806	3865	924
807	3871	919
808	3877	915
809	3882	910
810	3887	906
811	3893	901
812	3901	897
813	3906	892
814	3911	887
815	3916	883
816	3922	878
817	3927	873
818	3932	869
819	3936	864
820	3942	859
821	3947	854
822	3952	850
823	3958	845
824	3962	840
825	3966	835
826	3971	830
827	3976	825
828	3981	821
829	3986	816
830	3991	811
831	3996	807
832	4001	802
833	4008	797
834	4013	793
835	4017	788
836	4023	783
837	4029	778
838	4035	774
839	4040	769
840	4046	764
841	4051	760
